	Unnamed: 0	0	query	triples
0	0	Were Scott Derrickson and Ed Wood of the same nationality?	Were Scott Derrickson and Ed Wood of the same nationality?	"{""named_entities"": [""Scott Derrickson"", ""Ed Wood""]}"
1	1	What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?	What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?	"{""named_entities"": [""Corliss Archer"", ""Kiss and Tell""]}"
2	2	What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?	What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?	"{""named_entities"": [""science fantasy"", ""young adult series""]}"
3	3	Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?	Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?	"{""named_entities"": [""Laleli Mosque"", ""Esma Sultan Mansion""]}"
4	4	"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?"	"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?"	"{""named_entities"": [""Big Stone Gap"", ""New York""]}"
5	5	2014 S/S is the debut album of a South Korean boy group that was formed by who?	2014 S/S is the debut album of a South Korean boy group that was formed by who?	"{""named_entities"": [""2014 S/S"", ""South Korean"", ""boy group""]}"
6	6	Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?	Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?	"{""named_entities"": [""Aladin""]}"
7	7	The arena where the Lewiston Maineiacs played their home games can seat how many people?	The arena where the Lewiston Maineiacs played their home games can seat how many people?	"{""named_entities"": [""Lewiston Maineiacs""]}"
8	8	Who is older, Annie Morton or Terry Richardson?	Who is older, Annie Morton or Terry Richardson?	"{""named_entities"": [""Annie Morton"", ""Terry Richardson""]}"
9	9	Are Local H and For Against both from the United States?	Are Local H and For Against both from the United States?	"{""named_entities"": [""Local H"", ""For Against"", ""United States""]}"
10	10	What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?	What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?	"{""named_entities"": [""Lawrence, Kansas""]}"
11	11	"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?"	"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?"	"{""named_entities"": [""Evolution"", ""Nicolas Cage"", ""Téa Leoni""]}"
12	12	What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?	What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?	"{""named_entities"": [""Guns N Roses"", ""Arnold Schwarzenegger"", ""New York Police""]}"
13	13	Are Random House Tower and 888 7th Avenue both used for real estate?	Are Random House Tower and 888 7th Avenue both used for real estate?	"{""named_entities"": [""Random House Tower"", ""888 7th Avenue""]}"
14	14	The football manager who recruited David Beckham managed Manchester United during what timeframe?	The football manager who recruited David Beckham managed Manchester United during what timeframe?	"{""named_entities"": [""David Beckham"", ""Manchester United""]}"
15	15	Brown State Fishing Lake is in a country that has a population of how many inhabitants ?	Brown State Fishing Lake is in a country that has a population of how many inhabitants ?	"{""named_entities"": [""Brown State Fishing Lake""]}"
16	16	The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?	The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?	"{""named_entities"": [""Vermont Catamounts"", ""men's soccer team""]}"
17	17	Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?	Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?	"{""named_entities"": [""Giuseppe Verdi"", ""Ambroise Thomas"", ""Opera composers""]}"
18	18	Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?	Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?	"{""named_entities"": [""Roger O. Egeberg"", ""Assistant Secretary for Health and Scientific Affairs""]}"
